Corredor,Lugar,Genero,Edad,Pais,Tiempo,Velocidad
3475,3592,Male,52,GBR,2174833333,Regular
13594,13853,Female,40,NY,272.55,Regular
12012,12256,Male,31,FRA,2652833333,Regular
10236,10457,Female,33,MI,256.15,Regular
9476,9686,Male,33,NY,252.25,Regular
1720,1784,Male,40,NJ,2019666667,Regular
15736,16020,Female,30,CA,2835666667,Regular
10580,10805,Male,27,GBR,2558833333,Regular
11957,12201,Male,42,NED,264.25,Regular
18933,19266,Male,48,B.C,3066833333,Lento
14956,15229,Female,63,GBR,2812666667,Regular
14987,15260,Male,49,ITA,280.25,Regular
10447,10670,Male,33,NY,2583333333,Regular
10435,10658,Male,43,NY,2571333333,Regular
191,200,Male,40,GER,1639333333,Veloz
9962,10178,Male,33,NY,2536166667,Regular
2379,2467,Male,40,FRA,2062666667,Regular
10505,10729,Male,36,NY,2579333333,Regular
11853,12093,Male,49,SWE,2621333333,Regular
12181,12428,Female,34,NY,2642166667,Regular
2633,2730,Male,26,DEN,2097333333,Regular
11935,12179,Male,50,NED,265.25,Regular
20116,20460,Male,33,NJ,3152333333,Lento
23043,23413,Male,71,FL,414.7,Lento
19584,19921,Female,39,GER,3092666667,Lento
11640,11878,Female,28,GBR,2612666667,Regular
17363,17683,Male,52,GBR,2953166667,Regular
17611,17933,Male,28,NED,2948333333,Regular
9935,10151,Male,52,CA,254.25,Regular
8713,8915,Male,41,BRA,248.95,Regular
204,213,Male,35,VA,164.5,Veloz
21293,21647,Female,39,NY,3340166667,Lento
2624,2721,Male,48,FRA,210.9,Regular
14357,14623,Male,33,NED,2710666667,Regular
4583,4715,Male,35,MA,2264666667,Regular
10059,10277,Male,46,PR,2567166667,Regular
12379,12630,Male,30,NY,2648333333,Regular
3633,3751,Male,42,KY,2191333333,Regular
6695,6867,Male,31,ITA,237.7,Regular
711,737,Male,40,IL,184.3,Veloz
10746,10972,Male,41,NY,253.75,Regular
12716,12968,Male,33,NY,2674666667,Regular
17454,17775,Male,37,NY,2896166667,Regular
10114,10333,Female,25,RSA,2569666667,Regular
16764,17068,Male,39,GBR,2880333333,Regular
14424,14690,Male,34,NY,277.4,Regular
19915,20253,Female,42,NY,3163333333,Lento
13047,13301,Male,44,ITA,2713666667,Regular
8626,8827,Male,45,MA,2480833333,Regular
805,836,Male,30,NY,186.45,Veloz
6955,7132,Male,33,CA,237.2,Regular
